major,major_name,gpa,cert_count,english_test_taken,gender,high_income,high_satisfaction,regular_employment,cohort
6.0,의약,,0.0,0,2.0,1,1,1,2024
4.0,공학,,0.0,0,1.0,0,0,0,2024
4.0,공학,,0.0,0,2.0,1,1,1,2024
4.0,공학,,0.0,0,2.0,1,0,1,2024
1.0,인문,,0.0,0,2.0,1,0,1,2024
3.0,교육,,0.0,0,2.0,1,1,1,2024
6.0,의약,3.35,0.0,0,2.0,0,1,0,2024
5.0,자연,,0.0,0,2.0,0,1,1,2024
5.0,자연,,2.0,0,2.0,0,1,1,2024
4.0,공학,,0.0,0,1.0,1,1,1,2024
4.0,공학,,0.0,0,2.0,0,1,1,2024
4.0,공학,,0.0,0,1.0,1,0,1,2024
4.0,공학,3.3,0.0,0,1.0,1,1,0,2024
4.0,공학,,0.0,0,1.0,1,1,0,2024
4.0,공학,3.8,4.0,0,1.0,1,1,1,2024
,,,0.0,0,1.0,1,1,0,2024
7.0,예체능,,0.0,0,1.0,1,0,1,2024
4.0,공학,4.2,0.0,0,2.0,1,1,1,2024
4.0,공학,,0.0,0,1.0,1,0,1,2024
4.0,공학,,0.0,1,1.0,0,1,0,2024
2.0,사회,,0.0,1,1.0,0,0,0,2024
4.0,공학,,0.0,0,1.0,0,0,1,2024
2.0,사회,,1.0,0,1.0,0,0,1,2024
2.0,사회,,2.0,1,1.0,0,1,0,2024
6.0,의약,,0.0,0,2.0,0,0,1,2024
7.0,예체능,,0.0,0,2.0,0,0,0,2024
1.0,인문,,1.0,1,2.0,0,0,0,2024
2.0,사회,,0.0,0,2.0,0,0,0,2024
2.0,사회,3.0,0.0,0,2.0,1,0,1,2024
4.0,공학,3.96,0.0,0,2.0,1,1,1,2024
5.0,자연,3.76,0.0,0,2.0,1,0,1,2024
7.0,예체능,,0.0,1,2.0,0,1,0,2024
6.0,의약,3.652,0.0,0,2.0,0,0,1,2024
7.0,예체능,3.8,0.0,0,2.0,0,1,1,2024
7.0,예체능,,0.0,0,2.0,0,0,1,2024
2.0,사회,,0.0,0,1.0,0,0,0,2024
7.0,예체능,,0.0,0,2.0,0,0,0,2024
4.0,공학,3.5,0.0,0,1.0,0,1,1,2024
1.0,인문,,0.0,0,2.0,0,0,0,2024
2.0,사회,,0.0,0,2.0,1,1,1,2024
4.0,공학,,0.0,0,1.0,1,1,1,2024
2.0,사회,,1.0,0,2.0,0,0,1,2024
5.0,자연,,0.0,0,2.0,1,1,1,2024
4.0,공학,3.2,0.0,1,2.0,0,1,1,2024
,,,0.0,0,2.0,0,1,0,2024
7.0,예체능,,0.0,0,2.0,0,0,1,2024
1.0,인문,,0.0,0,2.0,1,0,1,2024
6.0,의약,,0.0,0,2.0,0,0,1,2024
2.0,사회,,0.0,0,2.0,1,1,1,2024
2.0,사회,4.06,0.0,1,2.0,1,1,1,2024
7.0,예체능,,0.0,0,2.0,0,0,0,2024
1.0,인문,,0.0,0,2.0,0,0,0,2024
1.0,인문,,0.0,0,2.0,0,1,1,2024
3.0,교육,,0.0,0,2.0,1,1,1,2024
7.0,예체능,,0.0,0,1.0,0,0,0,2024
5.0,자연,,0.0,1,2.0,1,1,1,2024
7.0,예체능,,0.0,0,2.0,0,1,1,2024
5.0,자연,,0.0,0,2.0,1,1,1,2024
6.0,의약,,0.0,0,2.0,0,1,1,2024
4.0,공학,,0.0,0,2.0,0,1,1,2024
6.0,의약,,0.0,0,2.0,0,1,1,2024
4.0,공학,,0.0,1,1.0,1,0,1,2024
4.0,공학,3.6,0.0,1,1.0,1,0,1,2024
2.0,사회,,0.0,0,1.0,0,1,0,2024
5.0,자연,3.872,0.0,0,1.0,1,1,1,2024
5.0,자연,,0.0,0,1.0,0,1,0,2024
1.0,인문,4.05,0.0,1,2.0,1,1,1,2024
2.0,사회,,0.0,0,2.0,1,1,1,2024
1.0,인문,,1.0,0,2.0,1,1,1,2024
1.0,인문,3.55,0.0,1,2.0,0,1,1,2024
,,,0.0,0,1.0,0,0,1,2024
2.0,사회,4.23,1.0,0,2.0,1,1,1,2024
4.0,공학,,0.0,0,2.0,1,1,1,2024
1.0,인문,,0.0,0,1.0,0,0,0,2024
6.0,의약,,0.0,0,2.0,1,1,1,2024
,,,0.0,0,2.0,0,0,1,2024
2.0,사회,,0.0,0,1.0,1,1,1,2024
4.0,공학,,0.0,0,1.0,0,0,1,2024
1.0,인문,,0.0,0,1.0,1,1,1,2024
4.0,공학,,0.0,0,1.0,1,1,0,2024
,,,0.0,0,1.0,1,1,1,2024
4.0,공학,,0.0,0,1.0,1,0,1,2024
,,,0.0,0,1.0,1,0,1,2024
4.0,공학,,0.0,1,1.0,1,1,1,2024
4.0,공학,,0.0,0,1.0,1,0,1,2024
2.0,사회,,0.0,0,1.0,1,1,1,2024
7.0,예체능,,1.0,0,2.0,1,0,0,2024
2.0,사회,,0.0,0,2.0,0,0,1,2024
2.0,사회,,0.0,0,1.0,0,1,0,2024
4.0,공학,,1.0,0,2.0,0,0,1,2024
,,,0.0,0,1.0,1,1,1,2024
,,,0.0,0,1.0,0,1,1,2024
2.0,사회,,0.0,0,2.0,1,1,1,2024
6.0,의약,,0.0,1,2.0,1,0,0,2024
7.0,예체능,,0.0,0,2.0,0,1,0,2024
,,,0.0,0,2.0,0,0,0,2024
,,,0.0,0,2.0,0,1,1,2024
7.0,예체능,,0.0,0,2.0,0,0,1,2024
,,,0.0,0,1.0,1,0,1,2024
4.0,공학,,0.0,0,1.0,1,1,1,2024
,,,0.0,0,1.0,0,1,1,2024
,,,0.0,0,1.0,0,1,0,2024
5.0,자연,3.9,0.0,0,1.0,0,1,1,2024
,,,0.0,0,2.0,1,1,1,2024
7.0,예체능,,0.0,1,2.0,1,0,1,2024
5.0,자연,,0.0,0,1.0,0,1,1,2024
4.0,공학,,1.0,0,2.0,1,1,1,2024
6.0,의약,,1.0,0,2.0,0,0,0,2024
7.0,예체능,,0.0,0,2.0,0,1,1,2024
6.0,의약,,0.0,0,2.0,1,1,1,2024
2.0,사회,,0.0,0,2.0,0,1,1,2024
6.0,의약,,0.0,0,2.0,1,0,1,2024
6.0,의약,,1.0,0,2.0,1,1,1,2024
6.0,의약,3.4,0.0,0,2.0,1,1,1,2024
7.0,예체능,,1.0,0,2.0,0,1,1,2024
7.0,예체능,,0.0,0,2.0,0,1,1,2024
2.0,사회,,1.0,0,2.0,0,1,1,2024
,,,0.0,0,1.0,1,0,1,2024
,,,0.0,0,1.0,1,1,1,2024
1.0,인문,,0.0,0,2.0,1,0,1,2024
,,,0.0,0,1.0,1,1,1,2024
,,,0.0,0,2.0,1,1,1,2024
,,,0.0,0,1.0,1,1,1,2024
,,,0.0,0,1.0,1,1,1,2024
,,,0.0,0,1.0,1,1,1,2024
4.0,공학,3.5,0.0,0,1.0,1,1,1,2024
,,,0.0,0,1.0,0,1,1,2024
,,,1.0,0,1.0,1,1,1,2024
,,,0.0,0,1.0,1,1,1,2024
,,,2.0,0,1.0,1,1,1,2024
,,,0.0,0,1.0,1,0,1,2024
,,,0.0,0,1.0,1,1,1,2024
,,,0.0,0,2.0,1,1,1,2024
,,,0.0,0,2.0,1,0,1,2024
7.0,예체능,,0.0,0,2.0,0,1,1,2024
6.0,의약,,0.0,0,2.0,0,1,1,2024
3.0,교육,,0.0,0,2.0,1,1,1,2024
2.0,사회,,0.0,0,2.0,1,1,1,2024
7.0,예체능,,0.0,0,2.0,1,1,1,2024
4.0,공학,3.4,0.0,0,2.0,0,1,1,2024
4.0,공학,,0.0,0,1.0,1,0,1,2024
5.0,자연,,0.0,0,2.0,1,1,1,2024
2.0,사회,,0.0,0,2.0,0,0,0,2024
6.0,의약,,0.0,0,2.0,1,1,1,2024
6.0,의약,4.0,1.0,0,2.0,1,1,1,2024
5.0,자연,,0.0,0,1.0,0,1,1,2024
5.0,자연,3.69,2.0,1,2.0,1,1,1,2024
7.0,예체능,,0.0,0,1.0,1,1,0,2024
7.0,예체능,3.5,0.0,0,2.0,1,0,0,2024
4.0,공학,3.558,0.0,0,1.0,1,1,1,2024
,,,0.0,0,1.0,1,1,1,2024
,,,0.0,0,1.0,1,0,1,2024
,,,0.0,0,1.0,0,1,1,2024
,,,0.0,0,1.0,1,1,1,2024
4.0,공학,,0.0,0,1.0,1,0,1,2024
4.0,공학,,0.0,0,1.0,1,0,1,2024
4.0,공학,3.3,0.0,0,1.0,0,1,0,2024
,,,0.0,0,2.0,0,1,0,2024
4.0,공학,,0.0,0,2.0,0,1,1,2024
,,,0.0,0,2.0,1,1,1,2024
,,,0.0,0,1.0,0,1,1,2024
,,,0.0,0,1.0,1,1,1,2024
,,,0.0,0,1.0,0,1,1,2024
2.0,사회,3.5,0.0,0,1.0,0,1,1,2024
,,,0.0,0,1.0,1,1,1,2024
,,,0.0,0,1.0,1,1,1,2024
,,,0.0,0,1.0,1,1,1,2024
,,,0.0,0,1.0,1,1,1,2024
6.0,의약,,0.0,0,2.0,0,1,1,2024
,,,0.0,0,2.0,0,0,0,2024
7.0,예체능,,0.0,0,2.0,0,0,1,2024
1.0,인문,,0.0,0,2.0,0,0,1,2024
6.0,의약,,0.0,0,2.0,0,0,1,2024
4.0,공학,3.8,0.0,1,1.0,1,0,1,2024
4.0,공학,4.0,0.0,0,2.0,0,0,0,2024
4.0,공학,3.9,0.0,0,1.0,1,1,1,2024
4.0,공학,,4.0,0,1.0,1,1,1,2024
5.0,자연,3.8,1.0,1,2.0,0,1,0,2024
6.0,의약,,0.0,0,2.0,0,0,1,2024
,,,0.0,0,1.0,0,0,0,2024
,,,0.0,0,1.0,0,0,1,2024
,,,0.0,0,1.0,1,0,1,2024
4.0,공학,3.91,5.0,0,1.0,1,0,0,2024
4.0,공학,3.65,0.0,0,1.0,1,0,1,2024
4.0,공학,4.18,0.0,0,1.0,0,1,1,2024
,,,0.0,0,2.0,0,1,0,2024
,,,0.0,0,1.0,0,1,0,2024
4.0,공학,,0.0,0,1.0,1,1,1,2024
4.0,공학,,0.0,0,1.0,1,1,1,2024
6.0,의약,,0.0,0,2.0,0,1,1,2024
,,,0.0,0,1.0,0,0,1,2024
1.0,인문,,0.0,0,2.0,1,0,1,2024
6.0,의약,,0.0,0,2.0,1,0,1,2024
2.0,사회,,0.0,1,1.0,0,1,0,2024
4.0,공학,,0.0,0,1.0,1,1,1,2024
4.0,공학,,0.0,0,1.0,1,0,0,2024
4.0,공학,,2.0,1,1.0,1,1,1,2024
2.0,사회,,0.0,0,2.0,0,0,1,2024
4.0,공학,3.5,0.0,0,1.0,0,0,1,2024
7.0,예체능,,1.0,0,2.0,0,0,1,2024
5.0,자연,,0.0,0,1.0,0,1,1,2024
3.0,교육,,0.0,0,2.0,0,1,1,2024
6.0,의약,3.5,5.0,0,1.0,1,1,1,2024
4.0,공학,,0.0,0,2.0,0,1,0,2024
1.0,인문,,0.0,0,2.0,1,0,1,2024
7.0,예체능,,0.0,1,2.0,0,1,0,2024
3.0,교육,3.663,0.0,0,1.0,0,1,1,2024
6.0,의약,,1.0,0,1.0,1,0,1,2024
4.0,공학,3.9,0.0,0,2.0,1,1,1,2024
2.0,사회,3.78,0.0,0,2.0,0,0,0,2024
2.0,사회,,3.0,0,1.0,0,1,0,2024
2.0,사회,,0.0,0,2.0,1,0,1,2024
6.0,의약,,1.0,1,1.0,1,0,1,2024
,,,1.0,0,1.0,1,0,1,2024
